annex2_code,field_name,canonical_field,priority,xsd_requirement,applicability,projected,delivered,has_field_rule,delivery_sample_value,xml_leaf_element,xml_first_record_value,population_mechanism,xsd_status
RREL35,Amortisation Type,amortisation_type,Analytics,ND1-4 allowed,in scope,True,True,True,OTHR,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/RpmtDtls/AmtstnTp,OTHR,projector via registry mapping + rule enum transform,document XSD PASSED
RREL36,Principal Grace Period End Date,principal_grace_period_end_date,Mandatory,; ND5 allowed,in scope,True,True,False,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/RpmtDtls/CmonData/GracePrdEndDt,ND5,projector via registry regime_mapping (no direct rule); permitted no-data value in output,document XSD PASSED
RREL37,Scheduled Principal Payment Frequency,scheduled_principal_payment_frequency,Mandatory,; ND5 allowed,in scope,True,True,True,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/RpmtDtls/CmonData/SchdldPmtFrqcy,ND5,projector via registry mapping + rule enum transform; permitted no-data value in output,document XSD PASSED
RREL38,Scheduled Interest Payment Frequency,scheduled_interest_payment_frequency,Mandatory,; ND5 allowed,in scope,True,True,True,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/RpmtDtls/CmonData/IntrstPmtFrqcy,ND5,projector via registry mapping + rule enum transform; permitted no-data value in output,document XSD PASSED
RREL39,Payment Due,payment_due,Mandatory,; ND5 allowed,in scope,True,True,False,0.0,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/PrfrmncDtls/PmtDtls/PmtDue,0.0,projector via registry regime_mapping (no direct rule),document XSD PASSED
RREL4,Original Obligor Identifier,original_obligor_identifier,Mandatory,no ND,in scope,True,True,False,OBL-000001,UndrlygXpsrId/OrgnlOblgrIdr,OBL-000001,projector via registry regime_mapping (no direct rule),document XSD PASSED
RREL40,Debt To Income Ratio,debt_to_income_ratio,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/RskDtls/DebtToIncm,ND5,projector via registry mapping + rule (validation/format); permitted no-data value in output,document XSD PASSED
RREL41,Balloon Amount,balloon_amount,Optional,ND1-4 allowed; ND5 allowed,in scope,True,True,True,ND1,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/RpmtDtls/BllnAmt,ND1,projector via registry mapping + rule (validation/format); permitted no-data value in output,document XSD PASSED
RREL42,Interest Rate Type,interest_rate_type,Mandatory,; ND5 allowed,in scope,True,True,True,FXRL,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/IntrstRateDtls/Tp,FXRL,projector via registry mapping + rule enum transform,document XSD PASSED
RREL43,Current Interest Rate,current_interest_rate,Mandatory,; ND5 allowed,in scope,True,True,False,6.787,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/IntrstRateDtls/CmonData/CurRate,6.787,projector via registry regime_mapping (no direct rule),document XSD PASSED
RREL44,Current Interest Rate Index,current_interest_rate_index,Mandatory,; ND5 allowed,in scope,True,True,True,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/IntrstRateDtls/CmonData/CurIndx,ND5,projector via registry mapping + rule enum transform; permitted no-data value in output,document XSD PASSED
RREL45,Current Interest Rate Index Tenor,current_interest_rate_index_tenor,Mandatory,; ND5 allowed,in scope,True,True,True,ND5,UndrlygXpsrData/ResdtlRealEsttLn/PrfrmgLn/UndrlygXpsrCmonData/UndrlygXpsrDtls/IntrstRateDtls/CmonData/CurTnor,ND5,projector via registry mapping + rule enum transform; permitted no-data value in output,document XSD PASSED
